Sequence Name	Match Sequence in Negative Strand	Percentage Matching	Match Type(0~Absolute,1~Partial(stop),2~Partial(start),3~Over absolute)	Prediction Confidence	R-Statistic	Length
NC_002528_329335+329421	NC_002528_328764+329774	100.00%	0	86.000%	0.000000	87
NC_002528_410324+410410	NC_002528_411167-409362	100.00%	0	88.000%	0.000000	87
NC_002528_418825+418911	NC_002528_419733-418243	100.00%	0	84.000%	0.000000	87
NC_002528_44158+44244	NC_002528_44650-40622	100.00%	0	80.000%	0.000000	87
NC_002528_531607+531693	NC_002528_531210+532316	100.00%	0	80.000%	0.000000	87
NC_002528_537650+537736	NC_002528_538184-536790	100.00%	0	98.000%	0.000000	87
NC_002528_560753+560839	NC_002528_561719-560535	100.00%	0	82.000%	0.000000	87
NC_002528_587644+587730	NC_002528_587706-586987	72.41%	2	98.000%	0.000000	87
NC_002528_631823+631909	NC_002528_633493-631640	100.00%	0	98.000%	0.000000	87
NC_002528_8719+8805	NC_002528_8421+8837	100.00%	0	94.000%	0.000000	87
NC_002528_127468+127557	NC_002528_127604-127212	100.00%	0	96.000%	0.000000	90
NC_002528_138034+138123	NC_002528_137550+138623	100.00%	0	88.000%	0.000000	90
NC_002528_149196+149285	NC_002528_149610-149125	100.00%	0	90.000%	0.000000	90
NC_002528_162394+162483	NC_002528_164119-162206	100.00%	0	82.000%	0.000000	90
NC_002528_177582+177671	NC_002528_176455+177972	100.00%	0	84.000%	0.000000	90
NC_002528_198814+198903	NC_002528_198321+199037	100.00%	0	74.000%	0.000000	90
NC_002528_346788+346877	NC_002528_347473-346190	100.00%	0	84.000%	0.000000	90
NC_002528_37762+37851	NC_002528_40460-36321	100.00%	0	66.000%	0.000000	90
NC_002528_402298+402387	NC_002528_404468-401601	100.00%	0	98.000%	0.000000	90
NC_002528_463947+464036	NC_002528_464376-462667	100.00%	0	98.000%	0.000000	90
NC_002528_50686+50775	NC_002528_50166+51044	100.00%	0	88.000%	0.000000	90
NC_002528_516763+516852	NC_002528_516791-514803	32.22%	2	70.000%	0.000000	90
NC_002528_543527+543616	NC_002528_543659-542838	100.00%	0	76.000%	0.000000	90
NC_002528_571394+571483	NC_002528_571850-571164	100.00%	0	96.000%	0.000000	90
NC_002528_633344+633433	NC_002528_633493-631640	100.00%	0	58.000%	0.000000	90
NC_002528_66435+66524	NC_002528_66272+67516	100.00%	0	86.000%	0.000000	90
NC_002528_12294+12386	NC_002528_12549-11449	100.00%	0	82.000%	0.000000	93
NC_002528_151021+151113	NC_002528_152939-149700	100.00%	0	100.000%	0.000000	93
NC_002528_15606+15698	NC_002528_15011+16609	100.00%	0	88.000%	0.000000	93
NC_002528_163297+163389	NC_002528_164119-162206	100.00%	0	84.000%	0.000000	93
NC_002528_19268+19360	NC_002528_18715+20361	100.00%	0	56.000%	0.000000	93
NC_002528_250263+250355	NC_002528_250534-248819	100.00%	0	64.000%	0.000000	93
NC_002528_273220+273312	NC_002528_273612-271888	100.00%	0	78.000%	0.000000	93
NC_002528_328915+329007	NC_002528_328764+329774	100.00%	0	84.000%	0.000000	93
NC_002528_362701+362793	NC_002528_363262-362549	100.00%	0	84.000%	0.000000	93
NC_002528_3633+3725	NC_002528_3560+3982	100.00%	0	78.000%	0.000000	93
NC_002528_37509+37601	NC_002528_40460-36321	100.00%	0	88.000%	0.000000	93
NC_002528_407211+407303	NC_002528_406304+407320	100.00%	0	88.000%	0.000000	93
NC_002528_410984+411076	NC_002528_411167-409362	100.00%	0	76.000%	0.000000	93
NC_002528_445976+446068	NC_002528_446404-445268	100.00%	0	60.000%	0.000000	93
NC_002528_458888+458980	NC_002528_459220-457799	100.00%	0	84.000%	0.000000	93
NC_002528_49518+49610	NC_002528_50051-48981	100.00%	0	94.000%	0.000000	93
NC_002528_602489+602581	NC_002528_604187-602433	100.00%	0	84.000%	0.000000	93
NC_002528_61684+61776	NC_002528_62674-60941	100.00%	0	80.000%	0.000000	93
NC_002528_234761+234856	NC_002528_235102-233846	100.00%	0	80.000%	0.000000	96
NC_002528_283523+283618	NC_002528_284464-283520	100.00%	0	82.000%	0.000000	96
NC_002528_29905+30000	NC_002528_29340+29972	70.83%	2	70.000%	0.000000	96
NC_002528_313794+313889	NC_002528_313130+314221	100.00%	0	58.000%	0.000000	96
NC_002528_350109+350204	NC_002528_349274+351034	100.00%	0	92.000%	0.000000	96
NC_002528_379626+379721	NC_002528_382004-379296	100.00%	0	72.000%	0.000000	96
NC_002528_380556+380651	NC_002528_382004-379296	100.00%	0	92.000%	0.000000	96
NC_002528_404930+405025	NC_002528_406044-404545	100.00%	0	92.000%	0.000000	96
NC_002528_419234+419329	NC_002528_419733-418243	100.00%	0	84.000%	0.000000	96
NC_002528_436572+436667	NC_002528_436827-435376	100.00%	0	86.000%	0.000000	96
NC_002528_537064+537159	NC_002528_538184-536790	100.00%	0	96.000%	0.000000	96
NC_002528_545851+545946	NC_002528_545775+546467	100.00%	0	62.000%	0.000000	96
NC_002528_547650+547745	NC_002528_548020-547031	100.00%	0	66.000%	0.000000	96
NC_002528_605641+605736	NC_002528_607384-605486	100.00%	0	84.000%	0.000000	96
NC_002528_633076+633171	NC_002528_633493-631640	100.00%	0	80.000%	0.000000	96
NC_002528_640025+640120	NC_002528_640441-639860	100.00%	0	74.000%	0.000000	96
NC_002528_89682+89777	NC_002528_87905+90817	100.00%	0	94.000%	0.000000	96
NC_002528_137038+137136	NC_002528_134808+137195	100.00%	0	90.000%	0.000000	99
NC_002528_182577+182675	NC_002528_183326-182379	100.00%	0	62.000%	0.000000	99
NC_002528_183061+183159	NC_002528_183326-182379	100.00%	0	100.000%	0.000000	99
NC_002528_187751+187849	NC_002528_188236-187430	100.00%	0	54.000%	0.000000	99
NC_002528_224765+224863	NC_002528_223819+226482	100.00%	0	82.000%	0.000000	99
NC_002528_225383+225481	NC_002528_223819+226482	100.00%	0	56.000%	0.000000	99
NC_002528_269727+269825	NC_002528_269665+271764	100.00%	0	78.000%	0.000000	99
NC_002528_310469+310567	NC_002528_309445+312030	100.00%	0	86.000%	0.000000	99
NC_002528_389223+389321	NC_002528_388523+389956	100.00%	0	76.000%	0.000000	99
NC_002528_413045+413143	NC_002528_413578-411548	100.00%	0	78.000%	0.000000	99
NC_002528_413993+414091	NC_002528_414142-413873	100.00%	0	54.000%	0.000000	99
NC_002528_428422+428520	NC_002528_428379+429383	100.00%	0	88.000%	0.000000	99
NC_002528_554078+554176	NC_002528_554374-553832	100.00%	0	68.000%	0.000000	99
NC_002528_604054+604152	NC_002528_604187-602433	100.00%	0	94.000%	0.000000	99
NC_002528_68232+68330	NC_002528_68339-67542	100.00%	0	56.000%	0.000000	99
NC_002528_68504+68602	NC_002528_68910-68425	100.00%	0	96.000%	0.000000	99
NC_002528_142940+143041	NC_002528_143203-142235	100.00%	0	80.000%	0.000000	102
NC_002528_174656+174757	NC_002528_174514+176358	100.00%	0	60.000%	0.000000	102
NC_002528_187854+187955	NC_002528_188236-187430	100.00%	0	100.000%	0.000000	102
NC_002528_188819+188920	NC_002528_188320+189537	100.00%	0	86.000%	0.000000	102
NC_002528_196028+196129	NC_002528_198054-195562	100.00%	0	82.000%	0.000000	102
NC_002528_413519+413620	NC_002528_413578-411548	58.82%	2	62.000%	0.000000	102
NC_002528_524079+524180	NC_002528_522104+524437	100.00%	0	68.000%	0.000000	102
NC_002528_556694+556795	NC_002528_556789-556088	94.12%	2	80.000%	0.000000	102
NC_002528_564228+564329	NC_002528_564492-564010	100.00%	0	60.000%	0.000000	102
NC_002528_608030+608131	NC_002528_609208-607559	100.00%	0	88.000%	0.000000	102
NC_002528_66622+66723	NC_002528_66272+67516	100.00%	0	76.000%	0.000000	102
NC_002528_132567+132671	NC_002528_132593+132931	75.24%	1	76.000%	0.000000	105
NC_002528_150791+150895	NC_002528_152939-149700	100.00%	0	92.000%	0.000000	105
NC_002528_211666+211770	NC_002528_211696-209246	29.52%	2	90.000%	0.000000	105
NC_002528_232665+232769	NC_002528_233788-232634	100.00%	0	88.000%	0.000000	105
NC_002528_254107+254211	NC_002528_254456-253632	100.00%	0	90.000%	0.000000	105
NC_002528_299177+299281	NC_002528_299698-298238	100.00%	0	68.000%	0.000000	105
NC_002528_313386+313490	NC_002528_313130+314221	100.00%	0	82.000%	0.000000	105
NC_002528_362867+362971	NC_002528_363262-362549	100.00%	0	94.000%	0.000000	105
NC_002528_391395+391499	NC_002528_392303-391155	100.00%	0	66.000%	0.000000	105
NC_002528_462147+462251	NC_002528_462651-461917	100.00%	0	90.000%	0.000000	105
NC_002528_472046+472150	NC_002528_471487+473310	100.00%	0	80.000%	0.000000	105
NC_002528_550559+550663	NC_002528_551013-549700	100.00%	0	68.000%	0.000000	105
NC_002528_557797+557901	NC_002528_558295-557474	100.00%	0	62.000%	0.000000	105
NC_002528_601022+601126	NC_002528_601342-600110	100.00%	0	92.000%	0.000000	105
NC_002528_171304+171411	NC_002528_169395+172115	100.00%	0	92.000%	0.000000	108
NC_002528_197659+197766	NC_002528_198054-195562	100.00%	0	60.000%	0.000000	108
NC_002528_290765+290872	NC_002528_290497+291279	100.00%	0	74.000%	0.000000	108
NC_002528_302770+302877	NC_002528_303926-302760	100.00%	0	90.000%	0.000000	108
NC_002528_388053+388160	NC_002528_387632+388426	100.00%	0	86.000%	0.000000	108
NC_002528_404659+404766	NC_002528_406044-404545	100.00%	0	74.000%	0.000000	108
NC_002528_455595+455702	NC_002528_456093-455608	87.96%	1	60.000%	0.000000	108
NC_002528_564389+564496	NC_002528_564492-564010	96.30%	2	96.000%	0.000000	108
NC_002528_222372+222482	NC_002528_222487-221834	100.00%	0	78.000%	0.000000	111
NC_002528_305763+305873	NC_002528_306334-305306	100.00%	0	96.000%	0.000000	111
NC_002528_417843+417953	NC_002528_418225-415631	100.00%	0	90.000%	0.000000	111
NC_002528_425001+425111	NC_002528_425425-424946	100.00%	0	94.000%	0.000000	111
NC_002528_478949+479059	NC_002528_477967+479226	100.00%	0	74.000%	0.000000	111
NC_002528_491415+491525	NC_002528_490715+491887	100.00%	0	84.000%	0.000000	111
NC_002528_491577+491687	NC_002528_490715+491887	100.00%	0	82.000%	0.000000	111
NC_002528_605603+605713	NC_002528_607384-605486	100.00%	0	74.000%	0.000000	111
NC_002528_614273+614383	NC_002528_614236+614709	100.00%	0	54.000%	0.000000	111
NC_002528_623758+623868	NC_002528_623535+623885	100.00%	0	98.000%	0.000000	111
NC_002528_197868+197981	NC_002528_198054-195562	100.00%	0	56.000%	0.000000	114
NC_002528_319398+319511	NC_002528_320146-319115	100.00%	0	80.000%	0.000000	114
NC_002528_322835+322948	NC_002528_325086-322648	100.00%	0	94.000%	0.000000	114
NC_002528_335484+335597	NC_002528_333143+335872	100.00%	0	94.000%	0.000000	114
NC_002528_369595+369708	NC_002528_370293-369604	92.11%	1	86.000%	0.000000	114
NC_002528_379962+380075	NC_002528_382004-379296	100.00%	0	94.000%	0.000000	114
NC_002528_414570+414683	NC_002528_415185-414247	100.00%	0	70.000%	0.000000	114
NC_002528_456694+456807	NC_002528_456822-456109	100.00%	0	62.000%	0.000000	114
NC_002528_154885+155001	NC_002528_155135-154326	100.00%	0	86.000%	0.000000	117
NC_002528_203808+203924	NC_002528_204243-203578	100.00%	0	90.000%	0.000000	117
NC_002528_254994+255110	NC_002528_255311-254517	100.00%	0	84.000%	0.000000	117
NC_002528_377103+377219	NC_002528_377099+377398	100.00%	0	56.000%	0.000000	117
NC_002528_443037+443153	NC_002528_442934+443107	60.68%	2	76.000%	0.000000	117
NC_002528_544419+544535	NC_002528_544750-544277	100.00%	0	74.000%	0.000000	117
NC_002528_557567+557683	NC_002528_558295-557474	100.00%	0	80.000%	0.000000	117
NC_002528_62474+62590	NC_002528_62674-60941	100.00%	0	80.000%	0.000000	117
NC_002528_167636+167755	NC_002528_167482+167970	100.00%	0	60.000%	0.000000	120
NC_002528_193797+193916	NC_002528_195492-193204	100.00%	0	62.000%	0.000000	120
NC_002528_201047+201166	NC_002528_201147-200569	84.17%	2	64.000%	0.000000	120
NC_002528_230678+230797	NC_002528_231018-230158	100.00%	0	64.000%	0.000000	120
NC_002528_28298+28417	NC_002528_29223-27844	100.00%	0	80.000%	0.000000	120
NC_002528_311900+312019	NC_002528_309445+312030	100.00%	0	88.000%	0.000000	120
NC_002528_389953+390072	NC_002528_389976+390320	80.83%	1	74.000%	0.000000	120
NC_002528_46222+46341	NC_002528_46764-46069	100.00%	0	64.000%	0.000000	120
NC_002528_480368+480487	NC_002528_480151+480945	100.00%	0	72.000%	0.000000	120
NC_002528_556213+556332	NC_002528_556789-556088	100.00%	0	72.000%	0.000000	120
NC_002528_562381+562500	NC_002528_563937-561787	100.00%	0	60.000%	0.000000	120
NC_002528_9723+9842	NC_002528_11322-8911	100.00%	0	70.000%	0.000000	120
NC_002528_114668+114790	NC_002528_113965+115608	100.00%	0	90.000%	0.000000	123
NC_002528_27559+27681	NC_002528_27810-25945	100.00%	0	96.000%	0.000000	123
NC_002528_323422+323544	NC_002528_325086-322648	100.00%	0	64.000%	0.000000	123
NC_002528_405077+405199	NC_002528_406044-404545	100.00%	0	68.000%	0.000000	123
NC_002528_452225+452347	NC_002528_451312+453021	100.00%	0	88.000%	0.000000	123
NC_002528_557622+557744	NC_002528_558295-557474	100.00%	0	56.000%	0.000000	123
NC_002528_620455+620577	NC_002528_621076-619604	100.00%	0	82.000%	0.000000	123
NC_002528_200870+200995	NC_002528_201147-200569	100.00%	0	88.000%	0.000000	126
NC_002528_573497+573622	NC_002528_573825-572734	100.00%	0	82.000%	0.000000	126
NC_002528_69324+69449	NC_002528_70675-68960	100.00%	0	94.000%	0.000000	126
NC_002528_146999+147127	NC_002528_146062+147354	100.00%	0	88.000%	0.000000	129
NC_002528_258409+258537	NC_002528_258087+258608	100.00%	0	76.000%	0.000000	129
NC_002528_405947+406078	NC_002528_406044-404545	74.24%	2	92.000%	0.000000	132
NC_002528_152254+152388	NC_002528_152939-149700	100.00%	0	52.000%	0.000000	135
NC_002528_155646+155780	NC_002528_156098-155139	100.00%	0	88.000%	0.000000	135
NC_002528_228094+228228	NC_002528_227748+229169	100.00%	0	66.000%	0.000000	135
NC_002528_415854+415988	NC_002528_418225-415631	100.00%	0	90.000%	0.000000	135
NC_002528_45130+45264	NC_002528_45239-44871	81.48%	2	88.000%	0.000000	135
NC_002528_606468+606602	NC_002528_607384-605486	100.00%	0	92.000%	0.000000	135
NC_002528_243642+243779	NC_002528_243727-242360	62.32%	2	72.000%	0.000000	138
NC_002528_28231+28368	NC_002528_29223-27844	100.00%	0	90.000%	0.000000	138
NC_002528_36452+36589	NC_002528_40460-36321	100.00%	0	76.000%	0.000000	138
NC_002528_405190+405327	NC_002528_406044-404545	100.00%	0	88.000%	0.000000	138
NC_002528_511107+511244	NC_002528_511324-510476	100.00%	0	96.000%	0.000000	138
NC_002528_60388+60525	NC_002528_60773-58935	100.00%	0	72.000%	0.000000	138
NC_002528_605553+605690	NC_002528_607384-605486	100.00%	0	80.000%	0.000000	138
NC_002528_211299+211439	NC_002528_211696-209246	100.00%	0	86.000%	0.000000	141
NC_002528_516185+516325	NC_002528_516791-514803	100.00%	0	56.000%	0.000000	141
NC_002528_347057+347200	NC_002528_347473-346190	100.00%	0	54.000%	0.000000	144
NC_002528_233703+233849	NC_002528_233788-232634	58.50%	2	80.000%	0.000000	147
NC_002528_45643+45789	NC_002528_45803-45306	100.00%	0	64.000%	0.000000	147
NC_002528_60147+60293	NC_002528_60773-58935	100.00%	0	68.000%	0.000000	147
NC_002528_154434+154583	NC_002528_155135-154326	100.00%	0	60.000%	0.000000	150
NC_002528_38072+38221	NC_002528_40460-36321	100.00%	0	64.000%	0.000000	150
NC_002528_510454+510603	NC_002528_511324-510476	85.33%	1	68.000%	0.000000	150
NC_002528_152444+152596	NC_002528_152939-149700	100.00%	0	74.000%	0.000000	153
NC_002528_217283+217435	NC_002528_216262+218544	100.00%	0	64.000%	0.000000	153
NC_002528_231721+231873	NC_002528_231992-231294	100.00%	0	68.000%	0.000000	153
NC_002528_357007+357159	NC_002528_355650+357125	77.78%	2	76.000%	0.000000	153
NC_002528_296511+296666	NC_002528_296063+296749	100.00%	0	76.000%	0.000000	156
NC_002528_366285+366440	NC_002528_367777-366242	100.00%	0	84.000%	0.000000	156
NC_002528_559563+559718	NC_002528_559861-559232	100.00%	0	70.000%	0.000000	156
NC_002528_285768+285926	NC_002528_286312-284480	100.00%	0	90.000%	0.000000	159
NC_002528_354243+354401	NC_002528_355403-353925	100.00%	0	60.000%	0.000000	159
NC_002528_240622+240783	NC_002528_241299-239971	100.00%	0	52.000%	0.000000	162
NC_002528_498395+498556	NC_002528_497500+500772	100.00%	0	68.000%	0.000000	162
NC_002528_594280+594444	NC_002528_594590-594138	100.00%	0	80.000%	0.000000	165
NC_002528_67570+67734	NC_002528_68339-67542	100.00%	0	70.000%	0.000000	165
NC_002528_156877+157044	NC_002528_159467-156645	100.00%	0	90.000%	0.000000	168
NC_002528_559460+559627	NC_002528_559861-559232	100.00%	0	70.000%	0.000000	168
NC_002528_242439+242609	NC_002528_243727-242360	100.00%	0	76.000%	0.000000	171
NC_002528_459705+459875	NC_002528_460147-459239	100.00%	0	68.000%	0.000000	171
NC_002528_561208+561378	NC_002528_561719-560535	100.00%	0	54.000%	0.000000	171
NC_002528_159815+159988	NC_002528_160425-159484	100.00%	0	78.000%	0.000000	174
NC_002528_622965+623141	NC_002528_623410-622493	100.00%	0	86.000%	0.000000	177
NC_002528_162618+162797	NC_002528_164119-162206	100.00%	0	68.000%	0.000000	180
NC_002528_26366+26545	NC_002528_27810-25945	100.00%	0	88.000%	0.000000	180
NC_002528_603787+603966	NC_002528_604187-602433	100.00%	0	66.000%	0.000000	180
NC_002528_64235+64414	NC_002528_64839-64192	100.00%	0	70.000%	0.000000	180
NC_002528_253986+254195	NC_002528_254456-253632	100.00%	0	68.000%	0.000000	210
NC_002528_282252+282464	NC_002528_282490-281861	100.00%	0	88.000%	0.000000	213
NC_002528_208999+209214	NC_002528_209225-208296	100.00%	0	82.000%	0.000000	216
NC_002528_237606+237824	NC_002528_238778-237714	50.68%	1	74.000%	0.000000	219
NC_002528_33593+33814	NC_002528_35167-33590	100.00%	0	62.000%	0.000000	222
NC_002528_68693+68923	NC_002528_68910-68425	94.37%	2	94.000%	0.000000	231
NC_002528_149983+150240	NC_002528_152939-149700	100.00%	0	68.000%	0.000000	258
NC_002528_213844+214107	NC_002528_214562-213771	100.00%	0	60.000%	0.000000	264
NC_002528_238267+238533	NC_002528_238778-237714	100.00%	0	76.000%	0.000000	267
NC_002528_246023+246292	NC_002528_246957-245218	100.00%	0	60.000%	0.000000	270
NC_002528_100615+100893	NC_002528_101348-100464	100.00%	0	54.000%	0.000000	279
NC_002528_466619+466897	NC_002528_468780-466372	100.00%	0	56.000%	0.000000	279
NC_002528_141020+141304	NC_002528_142260-140188	100.00%	0	92.000%	0.000000	285
NC_002528_70239+70523	NC_002528_70675-68960	100.00%	0	60.000%	0.000000	285
NC_002528_163119+163406	NC_002528_164119-162206	100.00%	0	80.000%	0.000000	288
NC_002528_209550+209837	NC_002528_211696-209246	100.00%	0	98.000%	0.000000	288
NC_002528_46307+46597	NC_002528_46764-46069	100.00%	0	56.000%	0.000000	291
